"Time of Day","Lap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
33 - NELSON PIQUET JR - Stock Car Pro
"13:44:30.811","5","1:35.651","125,331","","","0,0","21.756","0,0","37.850","",""
"13:45:55.417","6","1:24.606","141,692","0,0","26.619","0,0","20.975","0,0","37.012","205,8","0.558"
"13:47:19.499","7","1:24.082","142,575","0,0","26.172","0,0","21.043","0,0","36.867","206,2","0.557"
"13:48:42.327","8","1:22.828","144,734","0,0","25.684","0,0","20.564","0,0","36.580","206,5","0.556"
"13:50:04.863","9","1:22.536","145,246","0,0","25.580","0,0","20.388","0,0","36.568","206,5","0.556"
"13:51:28.365","10","1:23.502","143,565","0,0","25.552","0,0","20.497","0,0","37.453","206,5","0.556"
"13:56:16.024","11","4:47.659","41,674","0,0","25.650","0,0","20.513","","","206,5","0.556"
"13:57:51.482","12","1:35.458","125,584","","","0,0","23.215","0,0","40.053","",""
"13:59:18.034","13","1:26.552","138,506","0,0","28.312","0,0","20.831","0,0","37.409","162,0","0.709"
"14:00:45.999","14","1:27.965","136,281","0,0","26.158","0,0","20.603","0,0","41.204","207,3","0.554"
"14:02:07.479","15","1:21.480","147,128","0,0","25.216","0,0","20.150","0,0","36.114","208,8","0.550"
"14:03:28.797","16","1:21.318","147,421","0,0","25.197","0,0","20.099","0,0","36.022","208,0","0.552"
85 - GUILHERME SALAS - Stock Car Pro
"13:02:29.946","1","1:37.661","122,751","","","0,0","22.577","0,0","40.301","",""
"13:03:59.235","2","1:29.289","134,261","0,0","27.553","0,0","21.199","0,0","40.537","179,2","0.641"
"13:05:21.956","3","1:22.721","144,921","0,0","25.676","0,0","20.571","0,0","36.474","206,2","0.557"
"13:06:47.818","4","1:25.862","139,619","0,0","26.055","0,0","20.862","0,0","38.945","206,9","0.555"
"13:08:10.283","5","1:22.465","145,371","0,0","25.570","0,0","20.449","0,0","36.446","206,5","0.556"
"13:09:32.775","6","1:22.492","145,323","0,0","25.579","0,0","20.483","0,0","36.430","207,3","0.554"
"13:14:38.956","7","5:06.181","39,153","0,0","25.626","0,0","20.444","","","206,9","0.555"
"13:16:07.866","8","1:28.910","134,833","","","0,0","20.709","0,0","38.069","",""
"13:21:23.337","9","5:15.471","38,000","0,0","25.651","0,0","20.433","","","206,5","0.556"
"13:22:54.400","10","1:31.063","131,645","","","0,0","21.469","0,0","37.117","",""
"13:24:17.642","11","1:23.242","144,014","0,0","25.846","0,0","20.665","0,0","36.731","204,3","0.562"
"13:25:39.153","12","1:21.511","147,072","0,0","25.398","0,0","20.138","0,0","35.975","208,4","0.551"
"13:27:00.544","13","1:21.391","147,289","0,0","25.236","0,0","20.148","0,0","36.007","207,7","0.553"
"13:28:21.929","14","1:21.385","147,300","0,0","25.276","0,0","20.112","0,0","35.997","208,4","0.551"
29 - DANIEL SERRA - Stock Car Pro
"13:02:05.093","1","1:41.099","118,577","","","0,0","24.159","0,0","40.843","",""
"13:03:37.321","2","1:32.228","129,982","0,0","30.320","0,0","22.354","0,0","39.554","142,7","0.805"
"13:05:00.421","3","1:23.100","144,260","0,0","25.689","0,0","20.814","0,0","36.597","208,4","0.551"
"13:06:23.094","4","1:22.673","145,005","0,0","25.555","0,0","20.600","0,0","36.518","208,4","0.551"
