"Time of Day","Lap","LeadLap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
73 - ENZO ELIAS - Stock Car Pro
"10:57:00.887","20","20","1:22.751","144,868","0,0","25.563","0,0","20.595","0,0","36.593","211,1","0.544"
"10:58:23.552","21","21","1:22.665","145,019","0,0","25.626","0,0","20.522","0,0","36.517","211,5","0.543"
"10:59:46.320","22","22","1:22.768","144,839","0,0","25.631","0,0","20.573","0,0","36.564","211,5","0.543"
"11:01:09.266","23","23","1:22.946","144,528","0,0","25.654","0,0","20.565","0,0","36.727","210,7","0.545"
8 - RAFAEL SUZUKI - Stock Car Pro
"10:30:17.433","1","1","1:27.439","137,101","0,0","29.725","0,0","20.752","0,0","36.962","140,6","0.817"
"10:31:40.435","2","2","1:23.002","144,430","0,0","25.847","0,0","20.656","0,0","36.499","208,0","0.552"
"10:33:03.157","3","3","1:22.722","144,919","0,0","25.700","0,0","20.529","0,0","36.493","209,2","0.549"
"10:34:25.748","4","4","1:22.591","145,149","0,0","25.562","0,0","20.538","0,0","36.491","209,2","0.549"
"10:35:48.268","5","5","1:22.520","145,274","0,0","25.555","0,0","20.487","0,0","36.478","209,2","0.549"
"10:37:10.818","6","6","1:22.550","145,221","0,0","25.557","0,0","20.499","0,0","36.494","209,6","0.548"
"10:38:33.394","7","7","1:22.576","145,175","0,0","25.539","0,0","20.513","0,0","36.524","209,6","0.548"
"10:39:55.824","8","8","1:22.430","145,432","0,0","25.529","0,0","20.457","0,0","36.444","209,6","0.548"
"10:41:18.030","9","9","1:22.206","145,829","0,0","25.439","0,0","20.355","0,0","36.412","208,8","0.550"
"10:43:13.426","10","10","1:55.396","103,886","0,0","25.539","0,0","20.452","","","208,4","0.551"
"10:44:39.634","11","11","1:26.208","139,059","","","0,0","20.481","0,0","36.518","",""
"10:46:02.037","12","12","1:22.403","145,480","0,0","25.595","0,0","20.386","0,0","36.422","207,3","0.554"
"10:47:24.412","13","13","1:22.375","145,530","0,0","25.569","0,0","20.387","0,0","36.419","207,7","0.553"
"10:48:46.906","14","14","1:22.494","145,320","0,0","25.562","0,0","20.489","0,0","36.443","208,4","0.551"
"10:50:09.428","15","15","1:22.522","145,270","0,0","25.602","0,0","20.460","0,0","36.460","208,4","0.551"
"10:51:31.885","16","16","1:22.457","145,385","0,0","25.535","0,0","20.385","0,0","36.537","209,2","0.549"
"10:52:54.343","17","17","1:22.458","145,383","0,0","25.530","0,0","20.405","0,0","36.523","209,2","0.549"
"10:54:16.923","18","18","1:22.580","145,168","0,0","25.546","0,0","20.480","0,0","36.554","209,2","0.549"
"10:55:39.532","19","19","1:22.609","145,117","0,0","25.522","0,0","20.435","0,0","36.652","209,9","0.547"
"10:57:02.142","20","20","1:22.610","145,116","0,0","25.584","0,0","20.448","0,0","36.578","209,9","0.547"
"10:58:24.795","21","21","1:22.653","145,040","0,0","25.533","0,0","20.501","0,0","36.619","210,3","0.546"
"10:59:47.400","22","22","1:22.605","145,124","0,0","25.496","0,0","20.531","0,0","36.578","209,9","0.547"
"11:01:10.280","23","23","1:22.880","144,643","0,0","25.611","0,0","20.591","0,0","36.678","210,3","0.546"
1 - FELIPE FRAGA - Stock Car Pro
"10:30:20.231","1","1","1:29.001","134,695","0,0","30.239","0,0","21.749","0,0","37.013","148,6","0.773"
"10:31:43.016","2","2","1:22.785","144,809","0,0","25.771","0,0","20.482","0,0","36.532","207,7","0.553"
"10:33:05.694","3","3","1:22.678","144,996","0,0","25.460","0,0","20.502","0,0","36.716","210,3","0.546"
"10:34:28.148","4","4","1:22.454","145,390","0,0","25.537","0,0","20.500","0,0","36.417","210,3","0.546"
"10:35:50.629","5","5","1:22.481","145,343","0,0","25.569","0,0","20.372","0,0","36.540","211,1","0.544"
"10:37:13.334","6","6","1:22.705","144,949","0,0","25.680","0,0","20.585","0,0","36.440","211,1","0.544"
"10:39:06.803","7","7","1:53.469","105,650","0,0","25.509","0,0","20.481","","","210,7","0.545"
"10:40:33.459","8","8","1:26.656","138,340","","","0,0","20.657","0,0","36.791","",""
"10:41:55.225","9","9","1:21.766","146,614","0,0","25.412","0,0","20.207","0,0","36.147","208,8","0.550"
"10:43:18.058","10","10","1:22.833","144,725","0,0","25.822","0,0","20.603","0,0","36.408","209,2","0.549"
"10:44:40.554","11","11","1:22.496","145,316","0,0","25.527","0,0","20.428","0,0","36.541","209,9","0.547"
"10:46:03.060","12","12","1:22.506","145,299","0,0","25.609","0,0","20.427","0,0","36.470","208,4","0.551"
"10:47:25.661","13","13","1:22.601","145,131","0,0","25.720","0,0","20.349","0,0","36.532","211,1","0.544"
"10:48:48.579","14","14","1:22.918","144,577","0,0","25.699","0,0","20.603","0,0","36.616","209,6","0.548"
"10:50:11.190","15","15","1:22.611","145,114","0,0","25.593","0,0","20.457","0,0","36.561","208,4","0.551"
"10:51:33.219","16","16","1:22.029","146,143","0,0","25.403","0,0","20.392","0,0","36.234","210,3","0.546"
"10:52:55.516","17","17","1:22.297","145,668","0,0","25.482","0,0","20.389","0,0","36.426","211,5","0.543"
"10:54:18.067","18","18","1:22.551","145,219","0,0","25.757","0,0","20.462","0,0","36.332","212,7","0.540"
"10:55:40.666","19","19","1:22.599","145,135","0,0","25.638","0,0","20.497","0,0","36.464","211,1","0.544"
"10:57:03.071","20","20","1:22.405","145,477","0,0","25.499","0,0","20.478","0,0","36.428","211,1","0.544"
"10:58:25.739","21","21","1:22.668","145,014","0,0","25.670","0,0","20.463","0,0","36.535","211,9","0.542"
"10:59:48.462","22","22","1:22.723","144,917","0,0","25.531","0,0","20.480","0,0","36.712","211,5","0.543"
"11:01:11.893","23","23","1:23.431","143,688","0,0","26.437","0,0","20.610","0,0","36.384","212,3","0.541"
83 - GABRIEL CASAGRANDE - Stock Car Pro
"10:30:19.725","1","1","1:28.918","134,821","0,0","30.558","0,0","21.495","0,0","36.865","144,8","0.793"
"10:31:42.303","2","2","1:22.578","145,172","0,0","25.605","0,0","20.439","0,0","36.534","207,7","0.553"
"10:33:04.915","3","3","1:22.612","145,112","0,0","25.583","0,0","20.473","0,0","36.556","209,6","0.548"
"10:34:27.592","4","4","1:22.677","144,998","0,0","25.622","0,0","20.435","0,0","36.620","208,8","0.550"
"10:35:50.108","5","5","1:22.516","145,281","0,0","25.560","0,0","20.395","0,0","36.561","208,8","0.550"
"10:37:12.878","6","6","1:22.770","144,835","0,0","25.621","0,0","20.459","0,0","36.690","208,8","0.550"
"10:38:35.503","7","7","1:22.625","145,089","0,0","25.489","0,0","20.475","0,0","36.661","208,8","0.550"
"10:39:57.597","8","8","1:22.094","146,028","0,0","25.398","0,0","20.261","0,0","36.435","208,4","0.551"
"10:41:51.322","9","9","1:53.725","105,412","0,0","25.422","0,0","20.268","","","208,8","0.550"
"10:43:17.487","10","10","1:26.165","139,128","","","0,0","20.443","0,0","36.367","",""
"10:44:40.132","11","11","1:22.645","145,054","0,0","25.671","0,0","20.469","0,0","36.505","208,0","0.552"
"10:46:02.736","12","12","1:22.604","145,126","0,0","25.586","0,0","20.438","0,0","36.580","208,4","0.551"
"10:47:25.251","13","13","1:22.515","145,283","0,0","25.665","0,0","20.292","0,0","36.558","208,4","0.551"
"10:48:47.767","14","14","1:22.516","145,281","0,0","25.571","0,0","20.346","0,0","36.599","208,0","0.552"
"10:50:10.276","15","15","1:22.509","145,293","0,0","25.566","0,0","20.331","0,0","36.612","208,8","0.550"
"10:51:32.661","16","16","1:22.385","145,512","0,0","25.488","0,0","20.283","0,0","36.614","208,4","0.551"
"10:52:55.305","17","17","1:22.644","145,056","0,0","25.578","0,0","20.410","0,0","36.656","209,6","0.548"
"10:54:17.735","18","18","1:22.430","145,432","0,0","25.530","0,0","20.333","0,0","36.567","210,3","0.546"
"10:55:40.179","19","19","1:22.444","145,408","0,0","25.511","0,0","20.372","0,0","36.561","210,3","0.546"
"10:57:02.776","20","20","1:22.597","145,138","0,0","25.540","0,0","20.430","0,0","36.627","210,7","0.545"
"10:58:25.306","21","21","1:22.530","145,256","0,0","25.532","0,0","20.397","0,0","36.601","209,6","0.548"
"10:59:48.403","22","22","1:23.097","144,265","0,0","25.566","0,0","20.414","0,0","37.117","210,3","0.546"
"11:01:12.699","23","23","1:24.296","142,213","0,0","26.654","0,0","20.903","0,0","36.739","206,5","0.556"
7 - SERGIO SETTE CAMARA - Stock Car Pro
"10:30:20.849","1","1","1:30.521","132,433","0,0","31.353","0,0","21.912","0,0","37.256","139,7","0.822"
"10:31:44.052","2","2","1:23.203","144,081","0,0","25.993","0,0","20.641","0,0","36.569","205,8","0.558"
"10:33:06.789","3","3","1:22.737","144,893","0,0","25.666","0,0","20.524","0,0","36.547","207,3","0.554"
"10:34:29.361","4","4","1:22.572","145,182","0,0","25.639","0,0","20.511","0,0","36.422","207,3","0.554"
"10:35:51.949","5","5","1:22.588","145,154","0,0","25.567","0,0","20.480","0,0","36.541","208,0","0.552"
"10:37:14.584","6","6","1:22.635","145,072","0,0","25.608","0,0","20.619","0,0","36.408","208,0","0.552"
"10:38:37.240","7","7","1:22.656","145,035","0,0","25.602","0,0","20.474","0,0","36.580","208,0","0.552"
"10:39:59.599","8","8","1:22.359","145,558","0,0","25.562","0,0","20.419","0,0","36.378","207,7","0.553"
"10:41:21.917","9","9","1:22.318","145,630","0,0","25.510","0,0","20.388","0,0","36.420","207,7","0.553"
"10:43:17.015","10","10","1:55.098","104,155","0,0","25.551","0,0","20.384","","","207,3","0.554"
"10:44:43.479","11","11","1:26.464","138,647","","","0,0","20.486","0,0","36.419","",""
"10:46:05.760","12","12","1:22.281","145,696","0,0","25.570","0,0","20.346","0,0","36.365","206,2","0.557"
