Carro;Piloto;Time of Day;Lap;Lap Tm;Lap Tm (Segundos);Speed;S1;S1 Tm;S2;S2 Tm;S3;S3 Tm;SPT;SPT Tm;Stint;Tipo_Volta;Outlier
19;19 - FELIPE MASSA - Stock Car Pro;13:03:45.793;2,0;1:32.446;92,446;129,676;0,0;26.551;0,0;21.202;0,0;44.693;204,7;0.561;1;Push;True
19;19 - FELIPE MASSA - Stock Car Pro;13:05:09.146;3,0;1:23.353;83,353;143,822;0,0;25.910;0,0;20.782;0,0;36.661;206,9;0.555;1;Push;False
19;19 - FELIPE MASSA - Stock Car Pro;13:06:32.016;4,0;1:22.870;82,87;144,66;0,0;25.685;0,0;20.603;0,0;36.582;208,0;0.552;1;Push;False
19;19 - FELIPE MASSA - Stock Car Pro;13:07:54.807;5,0;1:22.791;82,791;144,798;0,0;25.634;0,0;20.551;0,0;36.606;208,4;0.551;1;Push;False
19;19 - FELIPE MASSA - Stock Car Pro;13:14:21.127;6,0;6:26.320;386,32;31,031;0,0;25.996;0,0;21.119;;;208,4;0.551;1;In-Lap/Garage;True
19;19 - FELIPE MASSA - Stock Car Pro;13:15:51.553;7,0;1:30.426;90,426;132,572;;;0,0;20.827;0,0;39.111;;;2;Out-Lap;True
19;19 - FELIPE MASSA - Stock Car Pro;13:17:14.376;8,0;1:22.823;82,823;144,742;0,0;25.603;0,0;20.572;0,0;36.648;206,2;0.557;2;Push;False
19;19 - FELIPE MASSA - Stock Car Pro;13:23:22.949;9,0;6:08.573;368,573;32,525;0,0;25.538;0,0;20.837;;;208,4;0.551;2;In-Lap/Garage;True
19;19 - FELIPE MASSA - Stock Car Pro;13:24:54.502;10,0;1:31.553;91,553;130,941;;;0,0;22.131;0,0;37.600;;;3;Out-Lap;True
19;19 - FELIPE MASSA - Stock Car Pro;13:26:21.045;11,0;1:26.543;86,543;138,521;0,0;25.863;0,0;20.450;0,0;40.230;206,2;0.557;3;Push;False
19;19 - FELIPE MASSA - Stock Car Pro;13:27:42.656;12,0;1:21.611;81,611;146,892;0,0;25.358;0,0;20.167;0,0;36.086;209,9;0.547;3;Push;False
21;21 - THIAGO CAMILO - Stock Car Pro;13:37:29.997;1,0;1:37.975;97,975;122,358;;;0,0;22.936;0,0;40.047;;;1;Push;True
21;21 - THIAGO CAMILO - Stock Car Pro;13:38:53.983;2,0;1:23.986;83,986;142,738;0,0;26.079;0,0;20.954;0,0;36.953;204,7;0.561;1;Push;False
21;21 - THIAGO CAMILO - Stock Car Pro;13:40:25.905;3,0;1:31.922;91,922;130,415;0,0;27.119;0,0;22.626;0,0;42.177;208,0;0.552;1;Push;True
21;21 - THIAGO CAMILO - Stock Car Pro;13:41:49.203;4,0;1:23.298;83,298;143,917;0,0;25.709;0,0;20.561;0,0;37.028;206,5;0.556;1;Push;False
21;21 - THIAGO CAMILO - Stock Car Pro;13:45:46.100;5,0;3:56.897;236,897;50,604;0,0;25.755;0,0;20.690;;;206,9;0.555;1;In-Lap/Garage;True
21;21 - THIAGO CAMILO - Stock Car Pro;13:47:21.134;6,0;1:35.034;95,034;126,144;;;0,0;22.363;0,0;40.310;;;2;Out-Lap;True
21;21 - THIAGO CAMILO - Stock Car Pro;13:48:46.955;7,0;1:25.821;85,821;139,686;0,0;27.436;0,0;21.092;0,0;37.293;162,0;0.709;2;Push;False
21;21 - THIAGO CAMILO - Stock Car Pro;13:50:09.414;8,0;1:22.459;82,459;145,381;0,0;25.485;0,0;20.513;0,0;36.461;205,8;0.558;2;Push;False
21;21 - THIAGO CAMILO - Stock Car Pro;13:55:19.039;9,0;5:09.625;309,625;38,718;0,0;25.514;0,0;20.449;;;206,5;0.556;2;In-Lap/Garage;True
21;21 - THIAGO CAMILO - Stock Car Pro;13:56:51.235;10,0;1:32.196;92,196;130,027;;;0,0;22.406;0,0;38.372;;;3;Out-Lap;True
21;21 - THIAGO CAMILO - Stock Car Pro;14:00:11.442;11,0;3:20.207;200,207;59,878;0,0;25.505;0,0;20.425;;;205,4;0.559;3;In-Lap/Garage;True
21;21 - THIAGO CAMILO - Stock Car Pro;14:01:46.010;12,0;1:34.568;94,568;126,766;;;0,0;22.417;0,0;40.260;;;4;Out-Lap;True
21;21 - THIAGO CAMILO - Stock Car Pro;14:03:11.236;13,0;1:25.226;85,226;140,661;0,0;26.425;0,0;21.107;0,0;37.694;205,1;0.560;4;Push;False
21;21 - THIAGO CAMILO - Stock Car Pro;14:04:33.211;14,0;1:21.975;81,975;146,24;0,0;25.517;0,0;20.287;0,0;36.171;207,7;0.553;4;Push;False
21;21 - THIAGO CAMILO - Stock Car Pro;14:05:54.995;15,0;1:21.784;81,784;146,581;0,0;25.286;0,0;20.160;0,0;36.338;207,3;0.554;4;Push;False
22;22 - ANDRE MORAES JR - Stock Car Pro Rookie;13:39:21.946;1,0;2:09.592;129,592;92,506;;;0,0;26.219;;;;;1;In-Lap/Garage;True
22;22 - ANDRE MORAES JR - Stock Car Pro Rookie;13:41:24.227;2,0;2:02.281;122,281;98,036;;;0,0;21.384;;;;;2;Out-Lap;True
22;22 - ANDRE MORAES JR - Stock Car Pro Rookie;13:42:58.674;3,0;1:34.447;94,447;126,928;;;0,0;24.791;0,0;39.360;;;3;Out-Lap;True
22;22 - ANDRE MORAES JR - Stock Car Pro Rookie;13:44:25.458;4,0;1:26.784;86,784;138,136;0,0;25.863;0,0;20.883;0,0;40.038;204,3;0.562;3;Push;False
22;22 - ANDRE MORAES JR - Stock Car Pro Rookie;13:45:48.990;5,0;1:23.532;83,532;143,514;0,0;25.899;0,0;20.776;0,0;36.857;205,4;0.559;3;Push;False
22;22 - ANDRE MORAES JR - Stock Car Pro Rookie;13:47:12.616;6,0;1:23.626;83,626;143,353;0,0;25.905;0,0;20.766;0,0;36.955;205,4;0.559;3;Push;False
22;22 - ANDRE MORAES JR - Stock Car Pro Rookie;13:48:36.320;7,0;1:23.704;83,704;143,219;0,0;25.949;0,0;20.727;0,0;37.028;205,8;0.558;3;Push;False
22;22 - ANDRE MORAES JR - Stock Car Pro Rookie;13:50:00.034;8,0;1:23.714;83,714;143,202;0,0;25.976;0,0;20.791;0,0;36.947;204,7;0.561;3;Push;False
22;22 - ANDRE MORAES JR - Stock Car Pro Rookie;13:51:23.997;9,0;1:23.963;83,963;142,777;0,0;25.986;0,0;20.915;0,0;37.062;205,1;0.560;3;Push;False
22;22 - ANDRE MORAES JR - Stock Car Pro Rookie;13:52:47.951;10,0;1:23.954;83,954;142,792;0,0;25.906;0,0;20.833;0,0;37.215;205,1;0.560;3;Push;False
24;24 - FELIPE BARTZ - Stock Car Pro Rookie;13:39:02.038;1,0;1:33.928;93,928;127,63;;;0,0;22.282;0,0;38.230;;;1;Push;False
24;24 - FELIPE BARTZ - Stock Car Pro Rookie;13:45:22.650;2,0;6:20.612;380,612;31,497;0,0;27.200;0,0;23.479;;;206,9;0.555;1;In-Lap/Garage;True
24;24 - FELIPE BARTZ - Stock Car Pro Rookie;13:46:52.543;3,0;1:29.893;89,893;133,359;;;0,0;21.025;0,0;37.559;;;2;Out-Lap;True
24;24 - FELIPE BARTZ - Stock Car Pro Rookie;13:48:21.158;4,0;1:28.615;88,615;135,282;0,0;30.058;0,0;21.164;0,0;37.393;205,4;0.559;2;Push;True
24;24 - FELIPE BARTZ - Stock Car Pro Rookie;13:49:45.177;5,0;1:24.019;84,019;142,682;0,0;26.054;0,0;20.915;0,0;37.050;208,4;0.551;2;Push;False
24;24 - FELIPE BARTZ - Stock Car Pro Rookie;13:51:09.591;6,0;1:24.414;84,414;142,014;0,0;26.064;0,0;20.926;0,0;37.424;208,0;0.552;2;Push;False
24;24 - FELIPE BARTZ - Stock Car Pro Rookie;14:00:17.056;7,0;9:07.465;547,465;21,897;0,0;25.960;0,0;20.891;;;207,7;0.553;2;In-Lap/Garage;True
24;24 - FELIPE BARTZ - Stock Car Pro Rookie;14:01:51.293;8,0;1:34.237;94,237;127,211;;;0,0;22.237;0,0;38.217;;;3;Out-Lap;True
24;24 - FELIPE BARTZ - Stock Car Pro Rookie;14:03:36.456;9,0;1:45.163;105,163;113,994;0,0;26.659;0,0;21.030;0,0;57.474;204,0;0.563;3;Push;True
24;24 - FELIPE BARTZ - Stock Car Pro Rookie;14:05:01.497;10,0;1:25.041;85,041;140,967;0,0;26.407;0,0;20.919;0,0;37.715;205,4;0.559;3;Push;False
24;24 - FELIPE BARTZ - Stock Car Pro Rookie;14:06:25.625;11,0;1:24.128;84,128;142,497;0,0;25.977;0,0;20.880;0,0;37.271;205,4;0.559;3;Push;False
27;27 - RENAN GUERRA - Stock Car Pro;13:01:58.311;1,0;1:46.019;106,019;113,074;;;0,0;27.276;0,0;41.647;;;1;Push;True
